n/a 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2.0 2.1 2.2
5.0 0114172000 0112773000 0111283000 0109709000 0108058000 0106337000 0104553000 0102713000 0100824000 0968927F01 0969264F01 0945312F01
5.2 0106280000 0105065000 0103771000 0102401000 0100962000 0994597F01 0978997F01 0962879F01 0946301F01 0929322F01 0911999F01 0894386F01
5.4 0991579F01 0980995F01 0969696F01 0957728F01 0945136F01 0931970F01 0918278F01 0904108F01 0889510F01 0874532F01 0859223F01 0843629F01
5.6 0927120F01 0917857F01 0907956F01 0897456F01 0886396F01 0874815F01 0862754F01 0850254F01 0837357F01 0824103F01 0810533F01 0796687F01
5.8 0868611F01 0860471F01 0851762F01 0842516F01 0632765F01 0822542F01 0811882F01 0800820F01 0789389F01 0777625F01 0765562F01 0753234F01
6.0 0815357F01 0808177F01 0800488F01 0792317F01 0783690F01 0774637F01 0765184F01 0755362F01 0745200F01 0734728F01 0723974F01 0712969F01
6.2 0766759F01 0760404F01 0753592F01 0746346F01 0738689F01 0730645F01 0722237F01 0713490F01 0704430F01 0695081F01 0685469F01 0675619F01
6.4 0722301F01 0716656F01 0710601F01 0704155F01 0697338F01 0690168F01 0682666F01 0674855F01 0666754F01 0658386F01 0649772F01 0640934F01
6.6 0681533F01 0676503F01 0671105F01 0665353F01 0659264F01 0652855F01 0646143F01 0639147F01 0631885F01 0624375F01 0616636F01 0608687F01
6.8 0644065F01 0639570F01 0634742F01 0629594F01 0624140F01 0618395F01 0612374F01 0606092F01 0599565F01 0592808F01 0585839F01 0578672F01
7.0 0609556F01 0605527F01 0601197F01 0596577F01 0591679F01 0586515F01 0581099F01 0575444F01 0569562F01 0563469F01 0557177F01 0550702F01
7.2 0577707F01 0574085F01 0570191F01 0566034F01 0561623F01 0556971F01 0552087F01 0546983F01 0541671F01 0536163F01 0530471F01 0524607F01
7.4 0548255F01 0544992F01 0541481F01 0537730F01 0833749F01 0529546F01 0525131F01 0520515F01 0515706F01 0510716F01 0505555F01 0500233F01
7.6 0520969F01 0518021F01 0514848F01 0511456F01 0507853F01 0504048F01 0500048F01 0495863F01 0491500F01 0486970F01 0482280F01 0477441F01
