n/a 0.0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 0.95 1.0
5.0 0122015000 0121947000 0121742000 0121402000 0120929000 0120325000 0119594000 0118738000 0117763000 0146673000 0116087000 0115474000
5.2 0113057000 0112998000 0112822000 0112529000 0112121000 0111601000 0110969000 0110231000 0109388000 0108446000 0107939000 0107408000
5.4 0105042000 0104991000 0104839000 0104585000 0104232000 0103781000 0103234000 0102593000 0101862000 0101043000 0100602000 0100140000
5.6 0978444F01 0978001F01 0976675F01 0974470F01 0971397F01 0967470F01 0962703F01 0957120F01 0950741F01 0943595F01 0939743F01 0935711F01
5.8 0913568F01 0913181F01 0912022F01 0910095F01 0907409F01 0903975F01 0899805F01 0894918F01 0889332F01 0883069F01 0879691F01 0876153F01
6.0 0854895F01 0854556F01 0853539F01 0851848F01 0849490F01 0846474F01 0842812F01 0838516F01 0833604F01 0828093F01 0825119F01 0822003F01
6.2 0801664F01 0801365F01 0800469F01 0798980F01 0796902F01 0794243F01 0791013F01 0787224F01 0782887F01 0778020F01 0775392F01 0772637F01
6.4 0753226F01 0752962F01 0752170F01 0750852F01 0749014F01 0746662F01 0743803F01 0740447F01 0736606F01 0732291F01 0729961F01 0727518F01
6.6 0709026F01 0708791F01 0708088F01 0706919F01 0705287F01 0703199F01 0700660F01 0697678F01 0694263F01 0690426F01 0688352F01 0686178F01
6.8 0668585F01 0668376F01 0667750F01 0666709F01 0665256F01 0663395F01 0661133F01 0658475F01 0655429F01 0652006F01 0650155F01 0648214F01
7.0 0631492F01 0631305F01 0630746F01 0629816F01 0628518F01 0626855F01 0624832F01 0622455F01 0619731F01 0616667F01 0615011F01 0613272F01
7.2 0597388F01 0597221F01 0596720F01 0595887F01 0594723F01 0593233F01 0591419F01 0589287F01 0586844F01 0584094F01 0582606F01 0581045F01
7.4 0565962F01 0565812F01 0565362F01 0564613F01 0583567F01 0562228F01 0560597F01 0558680F01 0556481F01 0554007F01 0552668F01 0551262F01
7.6 0536942F01 0536807F01 0536402F01 0535727F01 0534785F01 0533577F01 0532107F01 0530378F01 0528395F01 0526162F01 0524954F01 0523685F01
